Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,PhatBar_6,S,S_1,S_2,S_3,S_4,S_5,S_6
154,21.990854,0.023935318,0.101958334,0.4994403,0.49819538,0.51905537,0.5066192,0.5234418,0.51667047,1670,209,89,484,284,92,512
155,21.846918,0.024246216,0.101958334,0.49935102,0.5296749,0.51895714,0.5065715,0.5158173,0.51655245,1670,209,89,484,284,92,512
156,21.577398,0.024246216,0.101647496,0.4992635,0.49849835,0.51886207,0.50650084,0.5229008,0.5164465,1670,209,89,484,284,92,512
157,21.44285,0.024246216,0.10133666,0.49917734,0.52936125,0.5187712,0.5064542,0.51542664,0.5163365,1670,209,89,484,284,92,512
158,21.186743,0.024246216,0.10133666,0.4990929,0.49878427,0.51868,0.5063959,0.5223786,0.5162392,1670,209,89,484,284,92,512
159,21.058613,0.024246216,0.10133666,0.4990098,0.5290603,0.518596,0.50635135,0.5150496,0.51613414,1670,209,89,484,284,92,512
160,20.815018,0.024246216,0.101647496,0.4989281,0.49906087,0.5185114,0.5063092,0.5218737,0.5160365,1670,209,89,484,284,92,512
161,20.692663,0.024246216,0.101647496,0.49884817,0.52877617,0.5184262,0.50628155,0.51468486,0.515932,1670,209,89,484,284,92,512
162,20.459768,0.024246216,0.101647496,0.49876952,0.49931958,0.51835215,0.506258,0.521391,0.5158258,1670,209,89,484,284,92,512
163,20.344316,0.024246216,0.101647496,0.49869245,0.5285105,0.5182617,0.5062445,0.5143331,0.5157241,1670,209,89,484,284,92,512
164,20.119967,0.024246216,0.101647496,0.498617,0.4995628,0.5181775,0.5062419,0.5209258,0.51561904,1670,209,89,484,284,92,512
165,20.01185,0.024246216,0.101647496,0.4985429,0.52826256,0.5180983,0.5062376,0.5139922,0.51551235,1670,209,89,484,284,92,512
166,19.7971,0.024557054,0.101958334,0.49847034,0.49978375,0.51800656,0.50624084,0.5204816,0.5154108,1670,209,89,484,284,92,512
167,19.69438,0.024557054,0.101958334,0.49839917,0.52803797,0.5179306,0.50624657,0.5136631,0.5153017,1670,209,89,484,284,92,512
