Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,PhatBar_6,PhatBar_7,PhatBar_8,PhatBar_9,PhatBar_10,S,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10
114,37.086563,0.11698115,0.30956846,0.5193109,0.5225412,0.4734839,0.45808995,0.50527143,0.57252985,0.52328223,0.0007789048,0.44225416,0.53133094,749,140,219,18,16,24,132,88,7,28,77
115,37.13523,0.11698115,0.31144464,0.51932985,0.523882,0.47388506,0.4585439,0.50533175,0.5749499,0.5187878,0.00085123774,0.44289336,0.53108984,749,140,219,18,16,24,132,88,7,28,77
116,37.056675,0.11698115,0.31050658,0.51870924,0.5239804,0.47472858,0.4572733,0.50532955,0.56943995,0.5238736,0.00093619677,0.44351465,0.53085274,749,140,219,18,16,24,132,88,7,28,77
117,37.179066,0.11698115,0.31144464,0.51885444,0.52197397,0.4748453,0.45780742,0.5054427,0.5778185,0.51890844,0.0010350231,0.44410673,0.5306009,749,140,219,18,16,24,132,88,7,28,77
118,36.861904,0.11698115,0.31144464,0.51822203,0.52350694,0.47574854,0.45707875,0.505379,0.5698455,0.52361965,0.001152918,0.44472578,0.5303677,749,140,219,18,16,24,132,88,7,28,77
119,36.817123,0.11698115,0.31144464,0.51836956,0.52302986,0.47590876,0.4567444,0.505433,0.575919,0.5189917,0.001293692,0.445313,0.53012764,749,140,219,18,16,24,132,88,7,28,77
120,36.478813,0.11698115,0.31050658,0.51781833,0.5219231,0.47659636,0.45678955,0.50553775,0.57167506,0.5243195,0.0014653999,0.44588798,0.5299044,749,140,219,18,16,24,132,88,7,28,77
121,36.43196,0.11698115,0.31144464,0.5179015,0.52293825,0.4767606,0.4566865,0.5054807,0.5747363,0.5199527,0.0016742015,0.44646734,0.52966744,749,140,219,18,16,24,132,88,7,28,77
122,36.257057,0.11698115,0.31144464,0.51722395,0.52194947,0.47757038,0.4572395,0.50550354,0.5710501,0.5238552,0.0019371182,0.44703418,0.5294567,749,140,219,18,16,24,132,88,7,28,77
123,36.235073,0.11698115,0.31144464,0.517347,0.5217809,0.47777668,0.456518,0.50553894,0.57537985,0.52092624,0.0022707104,0.44759223,0.529219,749,140,219,18,16,24,132,88,7,28,77
124,36.01823,0.11792451,0.31144464,0.5167734,0.5226072,0.4785684,0.4562056,0.50555426,0.57119244,0.52395856,0.0027048173,0.4481474,0.5289866,749,140,219,18,16,24,132,88,7,28,77
125,35.94996,0.11792451,0.31238276,0.5167993,0.5212834,0.47871888,0.4576575,0.5054861,0.57388127,0.5212931,0.0032840888,0.44869116,0.5287928,749,140,219,18,16,24,132,88,7,28,77
126,35.723618,0.11792451,0.31144464,0.5162383,0.5217686,0.47960192,0.45486155,0.5055796,0.5731912,0.52425236,0.004081861,0.44923308,0.5285589,749,140,219,18,16,24,132,88,7,28,77
127,35.689335,0.11792451,0.31238276,0.5162597,0.5199639,0.47963598,0.4580229,0.50551635,0.5748008,0.52221084,0.0052202046,0.4497559,0.52838075,749,140,219,18,16,24,132,88,7,28,77
