Epoch,Loss,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5,TestingError,TrainingError
159,0.159113154,0.692373455,0.567591786,0.793714821,0.666170359,0.621531725,482,91,99,96,97,99,0.222000003,0.051999986
160,0.158651695,0.69235605,0.567672729,0.793565452,0.666148245,0.621538818,482,91,99,96,97,99,0.223999977,0.051999986
161,0.158218384,0.692321837,0.567755222,0.793353558,0.666126609,0.62155509,482,91,99,96,97,99,0.223999977,0.051999986
162,0.157843739,0.692292929,0.567837536,0.793281555,0.666107237,0.621554732,482,91,99,96,97,99,0.223999977,0.051999986
163,0.157408938,0.692270637,0.567905068,0.793063939,0.666090965,0.621575117,482,91,99,96,97,99,0.223999977,0.051999986
164,0.156954661,0.692242146,0.568017185,0.792836964,0.666071177,0.621588409,482,91,99,96,97,99,0.223999977,0.051999986
165,0.15656592,0.692218482,0.568097293,0.792658567,0.666056454,0.621602952,482,91,99,96,97,99,0.223999977,0.05400002
166,0.156165823,0.692187488,0.56817621,0.792550027,0.666034877,0.621607661,482,91,99,96,97,99,0.223999977,0.05400002
167,0.155757681,0.692163348,0.568253517,0.792345941,0.666019738,0.621625245,482,91,99,96,97,99,0.226000011,0.05400002
168,0.155361742,0.692132056,0.568348885,0.792181671,0.666000783,0.621631265,482,91,99,96,97,99,0.230000019,0.05400002
169,0.154975757,0.692104638,0.568428814,0.792005062,0.66598314,0.621647537,482,91,99,96,97,99,0.230000019,0.05400002
170,0.154597506,0.692079902,0.568511486,0.79185468,0.66596067,0.621657312,482,91,99,96,97,99,0.227999985,0.05400002
171,0.154200286,0.69205004,0.56860584,0.791645348,0.665943921,0.621669292,482,91,99,96,97,99,0.227999985,0.05400002
172,0.153849855,0.692026973,0.568683505,0.7914868,0.665931642,0.621683419,482,91,99,96,97,99,0.223999977,0.05400002
173,0.153495237,0.692000866,0.568779469,0.791379213,0.665906131,0.621683776,482,91,99,96,97,99,0.223999977,0.055999994
174,0.153123438,0.691968203,0.568866313,0.79116267,0.665887117,0.621702075,482,91,99,96,97,99,0.223999977,0.055999994
175,0.152748853,0.691937685,0.568955421,0.790961921,0.665869236,0.621717215,482,91,99,96,97,99,0.220000029,0.055999994
176,0.152417168,0.691906631,0.569029629,0.790831864,0.66584748,0.621729553,482,91,99,96,97,99,0.220000029,0.058000028
177,0.152102724,0.691879213,0.569114327,0.790742576,0.665832281,0.621730983,482,91,99,96,97,99,0.220000029,0.058000028
178,0.151764303,0.69184655,0.569194376,0.790546119,0.665816188,0.621746838,482,91,99,96,97,99,0.217999995,0.058000028
179,0.151445612,0.691815436,0.569267094,0.790391922,0.66579932,0.621761262,482,91,99,96,97,99,0.220000029,0.058000028
180,0.151157677,0.691785991,0.569341004,0.790302694,0.665781796,0.621766388,482,91,99,96,97,99,0.220000029,0.058000028
181,0.150819942,0.691757798,0.569422781,0.790108979,0.665762782,0.621784508,482,91,99,96,97,99,0.220000029,0.058000028
182,0.150531366,0.691726625,0.569498658,0.789987087,0.665740252,0.621796608,482,91,99,96,97,99,0.217999995,0.058000028
183,0.150261357,0.691699862,0.569556057,0.78987819,0.665718079,0.621808946,482,91,99,96,97,99,0.216000021,0.058000028
184,0.14997378,0.69167614,0.569621563,0.789800644,0.665698051,0.62181437,482,91,99,96,97,99,0.216000021,0.058000028
